path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
1-damage-care,pilling,"how to fix bobbles on clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to fix clothes pilling",50,Medium,38,0.21,1.88,0%
1-damage-care,pilling,"how to fix clothes that are pilling",50,High,71,0.08,1.41,0%
1-damage-care,pilling,"how to fix fleece pilling",50,Medium,43,,,0%
1-damage-care,pilling,"how to fix pilled clothes",50,Medium,45,0.06,1.37,0%
1-damage-care,pilling,"how to fix pilled leggings",50,Low,0,,,0%
1-damage-care,pilling,"how to fix pilled sweater",500,Low,28,0.04,0.30,0%
1-damage-care,pilling,"how to fix pilling clothes",50,Medium,60,0.07,1.49,0%
1-damage-care,pilling,"how to fix pilling fabric",500,Medium,34,0.17,1.44,0%
1-damage-care,pilling,"how to fix pilling leggings",50,Low,0,,,0%
1-damage-care,pilling,"how to fix pilling on a sweater",500,Low,28,0.04,0.30,0%
1-damage-care,pilling,"how to fix pilling on leggings",50,Low,8,,,0%
1-damage-care,pilling,"how to fix pilling on pants",50,Medium,58,0.09,1.23,0%
1-damage-care,pilling,"how to fix pilling on shirt",50,Medium,45,0.16,1.49,0%
1-damage-care,pilling,"how to fix pilling on sweater",500,Medium,38,0.06,0.42,0%
1-damage-care,pilling,"how to fix pilling on sweatshirt",50,Low,29,,,0%
1-damage-care,pilling,"how to fix pilling shirt",50,Low,26,,,0%
1-damage-care,pilling,"how to fix pilling sweater",500,Low,28,0.04,0.30,0%
1-damage-care,pilling,"how to fix pilling sweatshirt",50,Unknown,,,,-100%
1-damage-care,pilling,"how to fix pilling wool sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to fix shirt pilling",50,Medium,39,0.05,1.35,-90%
1-damage-care,pilling,"how to fix sweater fuzz",50,Medium,37,,,0%
1-damage-care,pilling,"how to get lint balls off of clothing",50,Medium,60,0.17,1.44,0%
1-damage-care,pilling,"how to get lint balls off sweatpants",50,High,78,,,0%
1-damage-care,pilling,"how to get pilling off a sweatshirt",50,High,74,,,new
1-damage-care,pilling,"how to get pilling off fabric",50,Medium,60,,,0%
9-unclassified,other,"how to get rid of balls of fabric on clothes",50,High,82,,,0%
1-damage-care,pilling,"how to get rid of balls on fabric",50,High,80,0.26,1.41,0%
1-damage-care,pilling,"how to get rid of balls on leggings",50,Low,29,,,0%
1-damage-care,pilling,"how to get rid of balls on sweaters",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to get rid of balls on wool sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of bobbles on coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of bobbles on fabric",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of bobbles on hoodie",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of bobbles on joggers",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of bobbles on leggings",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of bobbles on sofa",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of bobbles on tracksuit bottoms",0,Unknown,,,,--
1-damage-care,pilling,"how to get rid of bobbles on trousers",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of bobbles on wool coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of bobbles on your clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of bobbly bits on clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of cashmere pilling",50,Medium,38,,,0%
1-damage-care,pilling,"how to get rid of clothes bobbles",50,Medium,57,,,0%
1-damage-care,pilling,"how to get rid of clothes lint balls",50,Low,7,,,0%
1-damage-care,pilling,"how to get rid of clothing pills",50,Medium,46,,,0%
1-damage-care,pilling,"how to get rid of cotton balls on sweater",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of fabric balls on clothes",50,Low,25,,,0%
1-damage-care,pilling,"how to get rid of fabric balls on couch",50,High,98,,,0%
1-damage-care,pilling,"how to get rid of fabric balls on leggings",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of fabric fuzz",50,Low,21,,,0%
1-damage-care,pilling,"how to get rid of fluff balls on clothes",50,Medium,36,,,0%
1-damage-care,pilling,"how to get rid of fluff from clothes",5000,Medium,52,0.24,1.49,0%
1-damage-care,pilling,"how to get rid of fluff on sweaters",50,Medium,43,,,0%
1-damage-care,pilling,"how to get rid of fur balls on sweaters",50,High,86,,,0%
1-damage-care,pilling,"how to get rid of fuzz balls on hoodies",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of fuzz balls on leggings",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of fuzz balls on pants",50,Low,29,,,0%
1-damage-care,pilling,"how to get rid of fuzz balls on sweater",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how to get rid of fuzz balls on sweatpants",50,High,92,0.35,1.26,0%
1-damage-care,pilling,"how to get rid of fuzz balls on sweatshirts",50,High,100,,,new
1-damage-care,pilling,"how to get rid of fuzz from sweaters",50,Low,24,,,0%
1-damage-care,pilling,"how to get rid of fuzz on a sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of fuzz on black clothes",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of fuzz on hoodie",50,Low,14,,,0%
